ӈу нинэ нуй ӈуйӈуй нэ нэ нэнъупиратэвым	ӈ у н и н э _ н у й _ ӈ у й ӈ у _ й н _ э н э _ н э н ъ у п _ и р а т э в _ ы м
ынкъам плыткукъым натчьатэгым и ныйылӄэтигым	ы н к ъ а м п ы т к у к ъ ы м _ н а т ч ь _ а т э г ы м и н ы й ы ӄ _ э т и г ы м
льэлеӈкы пууръу нымигчирэтигым	ь э е ӈ к ы п у у р ъ у _ н ы м и г ч и р э т и г ы м
нылӄутигым инъэ	н ы ӄ у т и г ы м и н ъ э _
нычайойгым	н ы ч а й о й г ы м
мэгчерынвэты нытэнмавэвым ынкъам нымигчирэтысӄививым	м э г ч е р ы н в э т ы н ы т э н м а в э в ы м _ ы н к ъ а м _ н ы м и г ч и р э т ы с ӄ и в _ и в _ ы м
ынкы калеткорак нытэнъэткуйгым апэттагнэты	ы н к ы к а е т к о р _ ак _ н ы т э н ъ э т к у й г ы м _ а п э т т а г н э т ы
нырагтэгым напэтэгым	н ы р а г т э г ы м н а п _ э т э г ы м
апэтыплыткок нэмэ нымигчирысӄививым	а п э т ы п ы т к о к _ н э м э н ы м и г ч и р ы с ӄ и в _ и в _ ы м
ынкы нытэнъэткуйгым	ы н к ы н ы т э н ъ э т к у _ й г ы м _
ӈыраӄычьэты нырагтэгым	ӈ ы р а ӄ ы ч ь э т ы н ы р а г т _ э г ы м
нилгытэвивым ынкъам ярак нымигчирэтивым ч нытэнъэткуйгым чама нывийгым	н и г ы т э в и в _ ы м ы н к ъ а м я р а к н ы м и г ч и р э т и в _ ы м _ ч _ н ы т э н ъ э т к у _ й г ы м _ ч а м а н ы в и й г ы м
и имыръэнук имыръэнут ярак нинэтэйкивым чама нываӈэйгым	и и м ы р ъэн у к _ и м ы р ъ э н у т _ я р а к н и н э т э й к и в _ ы м _ ч а м а _ н ы в а ӈ э й г ы м
ынкъам мынгытычьэты натчьатэгым ныйылӄэтигым	ы н к ъ а м м ы н г ы т ы ч ь э т ы н а т ч ь а т э г ы м _ н ы й ы ӄ _ э т и г ы м _
гым ныппыльэв вама гарыч нырычвалыӈыттыӄэнат	г ы м н ы п п ы ь _ э в _ в а м а г а р ы ч н ы р _ ы ч _ в а ы ӈ ы т _ т ы ӄ э н а т
гым нэмыӄэй ны нырычвалыӈыттыӄэнат нэмыӄэй гым нывинрэтигым нырычвантойгым	г ы м н э м ы ӄ э й н ы н ы р _ ы ч _ в а _ ы ӈ ы т _ т ы ӄ э н а т н э м ы ӄ э й г ы м н ы в и н р э т и г ы м _ н ы р _ ы ч _ в а н т о й г ы м _
гым ӈавъёльа нинивӄин	г ы м ӈ а в ъ ё ь _ а _ н и н и в ӄ и н
ӄы нэмыӄэй ӄырычвогэ	ӄ ы н э м ы ӄ э й ӄ ы р _ ы ч в о _ г э _
ӄырым ӄырым мырычвогъак	ӄ ы р ы м ӄ ы р ы м м ы р ы ч _ в о _ г ъ а к _
тэӈвэнлыги рыпыткынтэвнинъым гэнанвытрынтэвлинъым	т э ӈ в э н ы г и р ы п _ ы т к ы н т э в н и н ъ ы м _ г э н а н в ы т р ы н т э в и н _ ъ ы м
рыпыткынтавъё тъынин	р ы п ы т к ы н т а в ъ ё _ т ъ ы н и н
трагтыгъак гым иниквъи	т р а г т ы гъак г ы м _ и н и к в ъ и
нивӄин гэрэӄигыт гилгыльувигыт	н и в ӄ и н г э р э ӄ и г ы т г и г _ ы _ ь _ у в и г ы т
наӄам эвыт тэӈэвыт ныпээттылейгым	н а ӄ а м э в ы т т э ӈ э в ы т _ н ы п _ э _ э т т ы _ е й г ы м
нинивӄин ытльата	н и н и в ӄ и н ы т ь а т а _
тумгытум ӄыгитэгэ мургин ынпыӈэв гэрэӄылин тэӈтэӈэвыт пэ пэ	т у м г ы т у м ӄ ы г и т э г э _ м у р г и н _ ы н п ы ӈ э в г э р э ӄ _ ы _ и н _ т э ӈ т э ӈ э в ы т _ п э п э
нылгиргыткульэтӄин ны ныннупэтӄинэт рыгыткогыргыт	н ы г и р г ы т к у ь _ э т ӄ и н н ы н ы н н у п э т ӄ и н э т _ р ы г _ ы т к о г ы р г ы т
ытчайаъым ӄэйвэ гинэльулинъым гэльулин рывытрынтавъё ынӄэн рычвалгын гэнпыткынтэвлин	ы т ч а й а ъ ы м ӄ э й в э _ г и н э ь у _ и н _ ъ ы м г э ь у и н _ р ы в ы т р ы н т а в ъ ё ы н ӄ э н _ р ы ч в а г ы н _ г э н п _ ы т к ы н т э в и н _
йыкыргын нинэйпыӄин нинивӄин ӄытитӄэтгын	й ы к ы р г ы н н и н э й п ы ӄ и н н и н и в ӄ и н ӄ ы т _ и т ӄ _ э т г ы н _
гымнан ванэ мытитӄэтгъэн	г ы м н а н в а н э м ы т и т ӄ _ э т г ъ э н _
вэнлыги чиӈкэйыръын ӄытлыги гэтитӄэтлин гымнан	в э н ы г и ч и ӈ к э й ы р ъ ы н _ ӄ ы т ы г и _ г э т и т ӄ _ э т и н _ г ы м н а н
тэӈэвыт тыпээттыляӈӈогъа гинив	т э ӈ э в ы т т ы п э _ э т т ы я _ ӈ ӈ о г ъ а г и н и в
нычаёӄэнат	н ы ч а ё ӄ э н а т
ытчайы гымнин ытля эну нэнамӈылёӄэна	ы т ч а й ы г ы м н и н ы т _ я э н _ у _ н э н а м ӈ _ ы ё ӄ э н а _
ӄутынъым ивнин	ӄ у т ы н ъ ы м и в н и н
ыныг ӈавъёльа йыкыргычыкогты гэнпыткынтэвлин рычвалгын	ы н ы г ӈ а в ъ ё ь _ а _ й ы к ы р г ы ч ы к о г т ы г э н п ы т к ы н т э в _ и н _ р ы ч в а г ы н
ытлыгын ӈаргынэн найвы айгычӄыӈӄач нывакъотваӄэн нырэӄыӄин ны ны нэнарынӈыӄин оттылгын	ы т ы г ы н ӈ а р г ы н э н н а й _ в ы а й _ г _ ы ч ӄ _ ы ӈ ӄ а ч н ы в а к ъ о т в а ӄ э н н ы р э ӄ ы ӄ и н н ы _ н ы _ н э н а р ы н ӈ _ ы ӄ и н _ о т т _ ы г ы н
ынкатагнэпы гатанпаайгым ынӄо рычвок	ы н к а т а г н э п ы г а т а н п а _ а й г ы м _ ы н ӄ о р ы ч в о к _
нэнанъотавӄэн рычвольэгым	н э н а н ъ о т а в ӄ э н р ы ч в о ь _ э г ы м _
нинивӄин ӄырычванторкын	н и н и в ӄ и н ӄ ы р ы ч в а н т _ о р к ы н _
ынӄоры паагъэ тынутчирык	ы н ӄ о р ы п а а г ъ э т ы н у т ч и р _ ы к _
ынкатагнэпы нырычвантойгым ӄонпы нык ныкэгынмилгытэвигым	ы н к а т а г н э п ы н ы р ы ч в а н т _ о й г ы м _ ӄ о н п ы н ы к н ы к э г ы н _ м _ и г ы т _ э в и г ы м
гымыкытчайаъым вэриву вэривуунъыкинэт гичининэт	г ы м ы к ы т ч а й а _ ъ ы м в э р и в у в э р и в у _ у н ъ ы к _ и н э т г и ч ининэт
рыпгыпгэвнин нинивӄин	р ы п г ы п г э в н и н _ н и н и в ӄ и н
ӄылпыгын гэмэч гэмэсӄытвилин виин	ӄ ы п ы г ы н г э м э ч г э м _ э с ӄ ы т в _ и и н _ в и и н
наӄам нинивигым	н а ӄ а м н и н и в и г ы м
иниквъи ӄарычгытвагэ	и н и к в ъ и ӄ а р ы ч г ы т в а г э _
нинэ ӄээӄын тарычгытвагъак	н и н э ӄ э э ӄ ы н т а р _ ы ч г ы т в а г ъ а к _
энэвӈӈогъэ гым	э н э в ӈ ӈ о г ъ э г ы м _
ӄылютэги	ӄ ы ю т э г и _
гымнан нивигым	г ы м н а н н и в и г ы м
ванэ мылётаӈӈогъак	в а н э м ы ё т а ӈ ӈ о _ г ъ а к _
вэнлыги ӄылютэги	в э н ы г и ӄ ы ю _ т э г и _
ынкатагнэпы ынӄо лыгэн энанъотавӈӈогъэ рычвольэгым	ы н к а т а г н э п ы ы н ӄ о ы г э н _ э н а н _ ъ о т _ а в ӈ ӈ о г ъ э _ р ы ч в о ь э г ы м _
ӄонпы ныкэгынмилгытэвигым	ӄ о н п ы н ы к э г ы н м _ и г ы т _ э в и г ы м
ынкатагнэпы гапаайгым	ы н к а т а г н э п ы г а п а айгым
ынӄо нивӄинэт иа’м ытлён ынӈин	ы н ӄ о н и в ӄ и н э т и а ’ м ы т _ ё _ н _ ы н ӈ и н _
ӄырым ытръэч игыт трэгичиркынэт томыкагты трэйылыркынэт	ӄ ы р ы м ы т р ъ э ч и г ы т т р _ э г _ и ч _ и р к ы н _ э т т о м ы к а г т ы т р э й ы _ ы р к ы н э т
игытъым тумгыт нивӄээт	и г ы т ъ ы м т у м г ы т н и в _ ӄ э э т _
ивкэ мынырычвомык	и в к э мын ы р ы ч в _ о м ы к _
гым вэлвагты нытвайгым	г ы м в э в а г т ы _ н ы т в а й г ы м _
гымнан ги гымнин гэчеёттэ тэӈэвыт томыкагты нинэйылигым рычват мэӈин гэчеёттэ тагъяӈӄэн рычвагты	г ы м н а н г и г ы м н и н г э ч е _ ё т т э _ т э ӈ _ э в ы т _ т о м ы к а г т ы _ н и н э й ы _ и г ы м р ы ч _ в а т м э ӈ и н г э ч е _ ё т т э т а г ъ я ӈ _ ӄ э н _ р ы ч в а _ г т ы
мэчынкы	м э ч ы н к ы
рыркайпияк мури калеткома ынӄэн	р ы р к а й п и я к м у р и _ к а е т к о м а _ ы н ӄ э н _
эмнуӈыльыт ныпкирӄинэт ынӄэнэ	э м н у ӈ ы ь ы т _ н ы п к и р ӄ и н э т ы н ӄ э н э
наӄамэ итык эвынъым нъэӄимлынӈэӄинэт вэлыткорайпыӈ	н а ӄ а м э и т ы к э в ы н _ ъ ы м н ъ э ӄ _ и м _ ы н ӈ э ӄ и н э т _ в э ы т к о р _ а й п ы ӈ
наӄам ӈанэ ӈиръэӄи	н а ӄ а м ӈ а н э ӈ и р _ ъ э ӄ _ и
э’ӄимлытъым алва вальыт ынӄэн ӄырымэнэ лыгъэӄимлыт ваа лыгэнэ наӄам нычелгльоӄэнат	э ’ ӄ и м ы т ъ ы м а в а _ в а ь ы т _ ы н ӄ э н _ ӄ ы р ы м э н э ы _ г ъ э ӄ _ и м ы т _ в а а ы г э н э _ н а ӄ а м _ н ы ч е г ь о ӄ э н а т _
мрэнти	м р э н т и
наӄам брэнди	н а ӄ а м б р э н д _ и _
брэнди брэндину нылгыӄинэтъым	б р э н д и _ б р э н д и н у _ н ы г ы ӄ и н э т ъ ы м
ӄутти ӄуттиы’м ынръамэ нэплички плисӄэнӈаӄэнат	ӄ у т т и ӄ у т т и ы ’ м _ ы н р ъ а м _ э н э п и ч _ к и п _ и с ӄ э н ӈ а _ ӄ э н а т
ӄоравальыт ӄэлюӄы’м пыкитльыт отпучкыльыт	ӄ о р а в а ь ы т _ ӄ э ю ӄ ы ’ м п ы к и т _ ь ы т о т _ п у ч к ы _ ь ы т
ӄутырыкъым ынӄэн брэнди	ӄ у т ы р ы к ъ ы м ы н ӄ э н б _ р э н д _ и _
мрэнтиы’м ынӄэн	м р э н т и ы ’ м _ ы н ӄ э н
ынпыначгын ӄоныры ынӄэнэ гавъёльатленъым	ы н п ы н а ч г ы н ӄ о н ы р ы ы н ӄ э н э _ г _ а в ъ ё _ ь а т _ е н ъ ы м
а’ачек эты нинивӄин	а ’ а ч е к э т ы н и н и в ӄ и н
ӄвэлыткорантагэъым вай ынкъам гымыкагты ӄыркургынэт	ӄ в э ы т к о р _ а н т а г э ъ ы м в а й ы н к ъ а м г ы м ы к а г т ы ӄ ы р к у р _ гынэт _
ынӄэн вэлыткоран пличка бличка	ы н ӄ э н в э ы т к _ о р _ ан п и ч к а б _ и ч к а
ӈан мрэнти ӄыркургынэт	ӈ а н м р э н т и ӄ ы р к у р _ гынэт _
ынӄэн гав чичеквъиы’м ӄэлюӄ а’ачекъым гэтэнӈыткулин	ы н ӄ э н г а в ч и ч е к в ъ и ы _ ’ м _ ӄ э ю _ ӄ а ’ а ч е к ъ ы м _ г э т э н ӈ _ ы т к у и н _
ытръэч ынӄэн пличка бличка иквъиы’м	ы т р ъ э ч ы н ӄ э н п и ч _ к а _ б _ и ч к а и к в ъ и _ ы ’ м
мытив ынӄэнэ танӈымэл иквъи чымчеӄэй	м ы т и в ы н ӄ э н э т а н ӈ _ ы м _ э и к в ъ и _ ч ы м ч е ӄ э й
пличка бличка чымчеӄэй вэлыткоран мрэнти ӄыркургынэт	п и ч к а б _ и ч к а ч ы м ч е ӄ э й _ в э ы т к _ о р _ ан м р э н т и ӄ ы р к у р гынэт _
ынӄэн а’ачекъым вэлыткорантаъэм ӄытлыги ымы плички курнинэтъым ымы мрэнти ын курнинэт	ы н ӄ э н а ’ а ч е к ъ ы м в _ э _ ы т к о р _ а н т а ъ э м ӄ ы т ы г и ы м ы п _ и ч к и _ к у р _ н и н э т ъ ы м ы м ы _ м р э н т и ы н _ к у р _ н и н э т
ынӄэн ынӈатал	ы н ӄ э н ы н ӈ а т а
нивӄинэт пличка нэмыӄэй	н и в ӄ и н э т п и ч к а _ н э м ы ӄ э й _
тэнмэмлыёчгын нытваӄэн	т э н м э м ы ё ч г ы н н ы т в а ӄ э н _
ынӄэната гакиноратленатъым клюпчыко	ы н ӄ э н а т а г а к ин о р а т _ е н _ а т ъ ы м к ю п ч ы к о _
клюбэты мури ымыльо кэлиткульымури ынӄэнэ нанвакъовсӄэвмык	к ю б э т ы _ м у р и ы м ы ь о к э _ и т к у _ ь ы м у р и _ ы н ӄ э н э н а н в а к ъ о в _ с ӄ э в м ы к _
ӄытлыгиы’м ынӄэнэ чапаевӄай чапаев ынӄэн мытльуэ’н кино тэӈвытку ӄэлюӄэ	ӄ ы т ы г и ы ’ м _ ы н ӄ э н э ч а п _ а е в ӄ а й _ ч а п а е в ы н ӄ э н _ м ы т ь у _ э ’ н _ к и н о т э ӈ в ы т к у ӄ э ю ӄ э _
ӈинӄэйӄэгти ӈээккэӄэгти ымыльо нывакъотваӄэнатъым	ӈ и н ӄ э й ӄ э г т и ӈ э э к к э ӄ э г т и ы м ы ь о _ н ы в а к ъ о т в а ӄ э н а т _ ъ ы м _
наӄам ӈоонко лыгэнъым вай ынӄэн	н а ӄ а м ӈ о о н к о ы г э н _ ъ ы м _ в а й _ ы н ӄ э н
нывыргыргыръуӄинъымӈэ у’рэӈэнри	н ы в ы р г ы р гыръ уӄин ъ ы м _ ӈ э у ’ р э ӈ э н р и
йъэлыги ынӄэн ӈоонко нинэгитэмури ынӄэн кино’м энмэн	й ъ э ы г и ы н ӄ э н _ ӈ о о н к о н и н э г и т э м у р и _ ы н ӄ э н _ к и н _ о ’ м э н м э н _
ынӄэн ыныкит чапаевӄай нын нэнъиръилемйигӈы нынтоӄэнъымэ	ы н ӄ э н ы н ы к и т ч а п _ а е в _ ӄ а й _ н ы н н э н ъ и р ъ и _ е м _ й и г ӈ ы н ы н т о ӄ э н ъ ы м э
наӄам ӈан ваал паколырговаляйӈын ӄнут	н а ӄ а м ӈ а н в а а п _ а к о _ ы р г о _ в а _ я й ӈ ы н ӄ н у т
ынӄэнэ левтык гырголя вай ынӈин нинэнилюйвыӄин нинэнилюйвыӄинъым	ы н ӄ э н э е в т ы к _ г ы р г о _ я в а й _ ы н ӈ и н н и н э н и _ ю _ й в ы ӄ и н _ н и н э н и ю й в ы ӄ и н _ ъ ы м
и ӈинӄэйӄэгти ӈээккэӄэгти ымыльо нивӄинэт	и ӈ и н ӄ э й ӄ э г т и ӈ э э к к э ӄ э г т и ы м ы _ ь о _ н и в ӄ и н э т _
урааа мургинэт ура мургинэт	у р а а а м у р г и н э т _ у р а м у р г и н э т _
ынӈатал гым нэмыӄэй ӄэлюӄы’м	ы н ӈ а т а г ы м н э м ы ӄ э й _ ӄ э ю ӄ ы _ ’ м _
нивигым э’тки а’ӄалеӈгыргын	н и в и г ы м э ’ т к и а ’ ӄ а е _ ӈ _ г ы р г ы н _
нэмыӄэйъымэ ӄынвэтъымэ тъэче гииӈитыкъымэ ӄынвэтэ амноӈэты нэмыӄэй киноратыӈӈоа’т	н э м ы ӄ э й ъ ы м э ӄ ы н в э т _ ъ ы м э т ъ э ч е _ г и и ӈ и т ы к _ ъ ы м _ э ӄ ы н в э т э а м н о ӈ э т ы _ н э м ы ӄ э й к и н о р а т _ ы ӈ ӈ о _ а ’ т _
ынпыначгытъым нэмыӄэй ныкиноӄэнат	ы н п ы н а ч г ы т ъ ы м н э м ы ӄ э й н ы к _ и н о ӄ э н а т _
ынлеко ымыӈ ытри аӈӄавъе ынӄэн нывакъотваӄэнат нэмыӄэйъым чыпэт тъэче малмытлыӈча нэгитээ’н ынӄэн ыннэнчьэн чапаевӄай	ы н е к о ы м ы ӈ _ ы т р и а ӈ ӄ а в ъ е _ ы н ӄ э н _ н ы в а к ъ о т в а ӄ э н а т _ н э м ы ӄ э й ъ ы м _ ч _ ы п _ э т т ъ э ч е _ м а м ы т ы ӈ _ ч а _ н э г и т э э ’ н ы н ӄ э н _ ы н н э н ч ь э н ч а п _ а е в _ ӄ а й _
ынлеко нивӄинэ ынлекона нинивӄинэ аӈӄавъе	ы н е к о н и в ӄ и н _ э ы н е к _ о н а н и н и в ӄ и н _ э а ӈ ӄ а в ъ е _
ынӈатал аръаля чапаевӄай этъуркыкыльи	ы н ӈ а т а а р ъ а я _ ч а п _ а е в ӄ а й _ э т ъ у р к ы к ы _ ь и
ӄольым нивӄин ӄун ии вэнъым э’тки	ӄ о ь ы м н и в ӄ и н _ ӄ у н и и в э н ъ ы м _ э ’ т к и _
ӈинӄэй ынкэкин нэмыӄэй миӈкыри танӈыӈэнӄай	ӈ и н ӄ э й ы н к э к и н н э м ы ӄ э й м и ӈ к ы р и _ т а н ӈ _ ы ӈ э н ӄ а й _
танӈыӈэнӄайа нэнамӈылёӄэн	танӈ ы ӈ э н ӄ а й а н э н а м _ ӈ ы ё ӄ э н
тури миӈкэк мэӈӄоры миӈкэкинэтури тури миӈкэкинэтури	т у р и м и ӈ к э к м э ӈ ӄ о р ы _ м и ӈ к э к и н э т у р и _ т у р и м и ӈ к э к и н э т у р и _
и иквъи ынӄэнэ ӈинӄэй гымнин	и и к в ъ и ы н ӄ э н э _ ӈ и н ӄ э й _ г ы м н и н _
мури вай амваанвыкэнайгым гым	м у р и в а й а м в а а н _ в ы к э н _ а й г ы м _ г ы м
ӄольым галгэ рилвыкымгытлинъым	ӄ о ь ы м г _ а г э р и в ы к ы м г ы т _ и н ъ ы м _
нивӄин гымнан гэмо ынӈин вальын нутэнут	н и в ӄ и н г ы м н а н г э м о ы н ӈ и н _ в а _ ь ы н _ н у т э н у т _
ӄэлюӄы’м ынӄэн ытлыгэ нэнавалёмӄэн вэтгавыльын ынӈинъым ынӄэн	ӄ э ю ӄ ы ’ м ы н ӄ э н _ ы т ы г э н э н а в а _ ё _ м ӄ э н _ в э т г а в ы ь ы н ы н ӈ и н _ ъ ы м ы н ӄ э н
ныний нынинъэйвыӄин экык	н ы н и й н ы н и н ъ _ э й в ы ӄ и н э к ы к _
ынӄэн гивэ мури вай чукоткайпы мытыпкирмык	ы н ӄ э н г и в э м у р и в а й _ ч у к о т к а й п ы _ м ы т ы п к и р м ы к _
чукоткакэнаморэ	ч у к о т к а к э н а м о р э
эээ ӄэлюӄы’м чичеквъи	э э э ӄ э ю ӄ ы _ ’ м ч и ч е к в ъ и _
ымы ынӄорыӈэ анадырык ынӄоры мытыпкирмыкъымэ	ы м ы ы н ӄ о р ы ӈ э а н _ а д _ ы р ы к ы н ӄ о р ы _ м ы т ы п к и р м ы к ъ ы м э _
ӄытлыги гымнин кэлиткутумгын ӄэргытваал ынӄэн	ӄ ы т ы г и г ы м н и н к э _ и т к у т у м г ы н _ ӄ э р _ г ы т в а а ы н ӄ э н _
мытльувылгымыкъым	м ы т ь у в ы г _ ы м ы к ъ ы м
ынин нэмыӄэй гымыкэккэнэ ынпычьэкыкъым ыннаны ынӄэнэ ыннэн ӄнут ыннэнгииӈикинэт ӈинӄэгти ынӄэн	ы н и н н э м ы ӄ э й г ы м ы к э к _ к э н _ э _ ы н п ы ч ь э к ы к ъ ы м ы н н а н ы _ ы н ӄ э н э ы н н э н _ ӄ _ н у т ы н н э н _ г и _ и ӈ и к _ и н э т ӈ и н ӄ э г т и ы н ӄ э н
нывэтгавӄэнат ӈирэргэри	н ы в э т г а в ӄ э н а т ӈ и р э р г э р и
ынӄэнэ энмэнъым чашкано гэтэныннынлин	ы н ӄ э н э э н м э н ъ ы м _ ч а ш _ к а н о _ г э т э н ы н н ы н и н
гымнан нинивигым вай ынӄэнъым данилка	г ы м н а н н и н и в и г ы м в а й ы н ӄ э н _ ъ ы м _ д _ а н и к _ а
ынӄэн нывэтгавӄэнат	ы н ӄ э н н ы в э т г а в ӄ э н а т
люут ынӄэн нэнан мытвалёмынат ивыльыт	ю ут ы н ӄ э н н э н а н _ м ы т в а ё _ м ы н _ а т _ и в ы ь ы т _
чашкана данилка нэнамӈылёӄэн	ч а ш к а н а _ д а н и к а н э н а м _ ӈ ы ё ӄ э н
гытъым миӈкэки мэӈӄоры пыкиргъи	г ы т ъ ы м м и ӈ к э к _ и м э ӈ ӄ о р ы _ п ы к и р г ъ и
миӈкэкинэйгыт	м и ӈ к э к и н э й г ы т
гым вай чукоткакэнайгым	г ы м в а й ч у к о т к а к э н а й г ы м _
ооо гым нэмыӄэй чукоткакэнайгым	о о о г ы м н э м ы ӄ э й _ ч у к о т к а к э н а й г ы м _
ытръэчьым ынӄэн миӈкэкинэйгыт ипэ	ы т р ъ э ч ь ы м ы н ӄ э н _ м и ӈ к э к и н э й г ы т и п э
омваанвыкэнайгым	о м в а а н в ы к э н _ а й г ы м
гым нотапынмэпы тыпки нэмыӄэй нутэпынмыльивым	г ы м н о т а п ы н _ м э п ы _ т ы п к и н э м ы ӄ э й н у т _ э п ы н м _ ы _ ь и в ы м
ынӄэнъым мури ӄэлюӄы’м мыттанӈыткоӈӈомык ипэ ынӄэн	ы н ӄ э н ъ ы м м у р и ӄ э ю _ ӄ ы ’ м _ м ы т т _ а н ӈ ы т к о ӈ ӈ о м ы к _ и п э ы н ӄ э н
гым паӈэ’вӈытъылёк	г ы м п а ӈ э ’ в _ ӈ ы т _ ъ ы ё к
вэтгавъёлгыткоэ’ айгытваалына иниквъи	в э т г а в ъ ё г ы т к о э ’ _ а й г ы т в а а ы н а _ и н и к в ъ и
эпэӄэй элгыӄанъявэты мынги мынилгытэвысӄивмык	э п э ӄ э й э г ы ӄ а н ъ я _ в э т ы _ м ы н г и м ы н и г ы т _ э в ы с ӄ _ и в м ы к
гымнанъым тиквъэк эгэй ытръэчьым ръэнут мынпиринэт	г ы м н а н ъ ы м т и к в ъ э к э г э й _ ы т р ъ э ч ь _ ы м _ р ъ э н у т _ м ы н п и р и н э т _
иниквъи ӄычавполпэрэгэ’м ынкъам пъомпъомъёчгынъым ынкъам эчг илгытэвкинэт яаёлӄылтэ	и н и к в ъ и ӄ ы ч ав п _ о п э р _ э г э ’ м ы н к ъ а м п ъ о м п _ ъ о м _ ъ ё ч г ы н ъ ы м ы н к ъ а м э ч г и г ы т _ э в _ к и н э т я а ё _ ӄ ы т э
тытэнмаквъакъым	т ы т э н м а к в ъ а к ъ ы м _
тыч тынвэтгавъёлгытковын тивын миӈкыри мылӄытык	т ы ч т ы н в э т г а в ъ ё _ г ы т к о _ в ы н т и в ы н м и ӈ к ы р и м ы ӄ ы т ы к _
ынан иниквъи нанэ ковлёрвоо ковлёрва мыт мытрэетгъэ гыныгъярагты	ы н а н иниквъи н а н э _ к о в _ ё р _ в о о _ к о в ё р в а м ы т _ м ы т р э е т г ъ э г ы н _ ы г ъ я _ р а г т ы
ынкы нэнъатчайгым	ы н к ы н э н ъ а т ч а й г ы м _
етгъэтъым мытэквэнмык элгыӄанъявэты	е т г ъ э т ъ ы м м ы т э к в энмык _ э г ы ӄ _ а н ъ я в э т ы _
тыляма нынвилмури’м ныпъоӈгэлеморэ	т ы я м а н ы н в _ и м у р и ’ м _ н ы п ъ о ӈ г э _ е м о р э
